name,count,mean,std,min,max,unique,freq,top
ID,23999,15037.974082253437,8652.141205564767,2,30000,23999,1,
CreditLimit,23999,167997.40322513448,130585.99576287325,10000,800000,80,2724,
Sex,23999,,,,,2,9502,F
Education,23999,1.8548272844701863,0.7882327511812479,0,6,7,11255,
Marriage,23999,,,,,4,12782,S
Age,23999,35.506979457477385,9.2034096635426,21,79,54,1277,
Status1,23999,-0.15092295512312995,0.8753306390539741,-2,1,4,11761,
Status2,23999,-0.1604650193758073,1.1287086496083172,-2,2,5,12551,
Status3,23999,-0.18067419475811483,1.157786638938918,-2,3,6,12571,
Status4,23999,-0.23438476603191802,1.1327906566016113,-2,4,7,13121,
Status5,23999,-0.27388641193383084,1.1143613308511124,-2,5,7,13472,
Status6,23999,-0.2960956706529441,1.1423395956662041,-2,6,8,12988,
BillAmt1,23999,51102.59852493849,73602.90713311236,-154973,746814,18635,1609,
BillAmt2,23999,48950.81261719242,70873.89373490203,-69777,605943,18370,2025,
BillAmt3,23999,46789.204591858004,69379.41370515629,-157264,1664089,18077,2305,
BillAmt4,23999,43028.569065377706,64115.44182869838,-170000,616836,17721,2571,
BillAmt5,23999,40183.781949247816,60920.04461819831,-81334,823540,17331,2811,
BillAmt6,23999,38784.07712821378,59752.50399900157,-209051,699944,16932,3194,
PayAmt1,23999,5654.421100879199,16608.024705374082,0,873552,6878,4223,
PayAmt2,23999,5949.978374098927,24270.50311118098,0,1684259,6850,4354,
PayAmt3,23999,5187.11342139254,16863.106897106427,0,889043,6530,4754,
PayAmt4,23999,4875.824951039619,16073.54053823456,0,621000,6088,5092,
PayAmt5,23999,4834.456685695239,15586.996519291493,0,426529,6016,5290,
PayAmt6,23999,5217.417600733364,17407.196987947213,0,528666,6062,5701,
Default,23999,0.22117588232843036,0.41504733390599846,False,True,2,5308,
