Relative Importance,Standard Deviation of Relative Importance,Original Feature
1,0.084084,Status1
0.69676,0.094457,Status2
0.69266,0.15811,PayAmt3
0.28969,0.01441,CreditLimit
0.28262,0.053666,Status3
0.16017,0.010528,Status5
0.096119,0.0054156,Status4
0.086716,0.015607,PayAmt5
0.068325,0.011016,PayAmt1
0.064104,0.004826,Age
0.063726,0.005863,Status6
0.048979,0.003657,PayAmt6
0.04534,0.0018116,PayAmt4
0.041033,0.0042215,BillAmt5
0.03917,0.0058605,PayAmt2
0.038312,0.0045224,BillAmt1
0.032473,0.00086133,BillAmt2
0.020937,0.0048827,BillAmt6
0.016202,0.0011525,BillAmt3
0.0075966,0,BillAmt4
0.007179,0.0004474,Education
0,0,Sex
0,0,Marriage
