Variable Importance
+----+-----------------------+---------------------------------------------+-------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                                                                       | Description                                                                                                                                                                                                       |
|----+-----------------------+---------------------------------------------+-------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 |            1          |                                           0 | 45_NumToCatWoE:PayAmt3:Status1:Status2.0                                      | Weight of Evidence for columns ['PayAmt3', 'Status1', 'Status2'] column #0 (numeric columns are bucketed into 25 equally populated bins)                                                                          |
|  1 |            0.429878   |                                           0 | 51_ClusterTE:ClusterID71:PayAmt3:Status1:Status3.0                            | Out-of-fold mean of the response grouped by: ['ClusterID71:PayAmt3:Status1:Status3'] using 5 folds (Clustered into 71 clusters)                                                                                   |
|  2 |            0.108338   |                                           0 | 53_ClusterTE:ClusterID60:CreditLimit:PayAmt5:Status1.0                        | Out-of-fold mean of the response grouped by: ['ClusterID60:CreditLimit:PayAmt5:Status1'] using 5 folds (Clustered into 60 clusters)                                                                               |
|  3 |            0.095934   |                                           0 | 73_WoE:CreditLimit:Status1:Status2.0                                          | Weight of Evidence for columns ['CreditLimit', 'Status1', 'Status2'] column #0                                                                                                                                    |
|  4 |            0.0825714  |                                           0 | 39_NumCatTE:CreditLimit:Status1:Status2:Status5.0                             | Out-of-fold mean of the response grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status5'] using 5 folds (numeric columns are bucketed into 25 equally populated bins)                                         |
|  5 |            0.0698161  |                                           0 | 56_NumToCatWoE:CreditLimit:PayAmt1:Status5.0                                  | Weight of Evidence for columns ['CreditLimit', 'PayAmt1', 'Status5'] column #0 (numeric columns are bucketed into 25 equally populated bins)                                                                      |
|  6 |            0.052487   |                                           0 | 9_PayAmt1                                                                     | PayAmt1 (original)                                                                                                                                                                                                |
|  7 |            0.049073   |                                           0 | 44_CVCatNumEnc:Status1:Status2:Status3:Status6:CreditLimit.mean               | Out-of-fold mean of 'CreditLimit' grouped by: ['Status1', 'Status2', 'Status3', 'Status6'] using 5 folds                                                                                                          |
|  8 |            0.0381892  |                                           0 | 41_CVTE:CreditLimit:Status1:Status2:Status4.0                                 | Out-of-fold mean of the response grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status4'] using 5 folds                                                                                                       |
