Relative Importance,Shift in Relative Importance,Original Feature
1,0,Status1
0.4761678,0.01160726,Status2
0.371332,-0.07905498,Status3
0.234,-0.09155023,BillAmt1
0.194854,-0.1105101,CreditLimit
0.1806425,-0.02409713,PayAmt1
0.1430647,0.000180617,PayAmt2
0.1325258,0.01828355,Status4
0.1270412,-0.003724217,Status6
0.1235299,0.01382696,PayAmt4
0.121455,-0.002135128,PayAmt3
0.1044148,0.01133197,BillAmt4
0.09091328,-0.02215865,BillAmt2
0.08295321,-0.04937086,Age
0.07656839,-0.01484862,PayAmt5
0.06972241,-0.02332877,BillAmt6
0.06678915,-0.03028879,BillAmt5
0.06531724,-0.005118206,BillAmt3
0.05758026,-0.0399412,PayAmt6
0.05183131,-0.02281519,Marriage
0.04395154,-0.009689365,Sex
0.03392754,-0.03065106,Education
0,0,ID
0,0,Status5
