Relative Importance,Standard Deviation of Relative Importance,Original Feature
1,0.071673,Status1
0.79934,0.08522,Status2
0.48525,0.1145,PayAmt3
0.29946,0.012186,CreditLimit
0.26474,0.091634,PayAmt2
0.21149,0.022617,Status3
0.15045,0.0092205,Status5
0.11911,0.0069074,Status4
0.099781,0.012983,PayAmt5
0.086834,0.0090737,Status6
0.073582,0.0095194,PayAmt1
0.066536,0.0044461,Age
0.065303,0.0059526,BillAmt5
0.063905,0.0070492,PayAmt6
0.062763,0.0040635,PayAmt4
0.044549,0.0060513,BillAmt1
0.039138,0.0068804,BillAmt2
0.032853,0.0061023,BillAmt6
0.018623,0.00068052,BillAmt3
0.010924,0.00051342,Education
0.0070912,0,BillAmt4
0,0,Sex
0,0,Marriage
