Variable Importance Shift Between Best Iteration Model and Final Model
+----+-----------------------+--------------------------------+-------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Shift of Relative Importance | Feature                                                                       | Description                                                                                                                                                                                                                               |
|----+-----------------------+--------------------------------+-------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 |            1          |                    0           | 45_NumToCatWoE:PayAmt3:Status1:Status2.0                                      | Weight of Evidence for columns ['PayAmt3', 'Status1', 'Status2'] column #0 (numeric columns are bucketed into 25 equally populated bins)                                                                                                  |
|  1 |            0.68854    |                    0.653099    | 61_NumToCatWoE:PayAmt2:Status1:Status2.0                                      | Weight of Evidence for columns ['PayAmt2', 'Status1', 'Status2'] column #0 (numeric columns are bucketed into 25 equally populated bins)                                                                                                  |
|  2 |            0.249654   |                   -0.180224    | 51_ClusterTE:ClusterID71:PayAmt3:Status1:Status3.0                            | Out-of-fold mean of the response grouped by: ['ClusterID71:PayAmt3:Status1:Status3'] using 5 folds (Clustered into 71 clusters) [internal:(71, True, 20, 3, 100)]                                                                         |
|  3 |            0.129497   |                    0.0211596   | 53_ClusterTE:ClusterID60:CreditLimit:PayAmt5:Status1.0                        | Out-of-fold mean of the response grouped by: ['ClusterID60:CreditLimit:PayAmt5:Status1'] using 5 folds (Clustered into 60 clusters) [internal:(60, True, 20, 5, None)]                                                                    |
|  4 |            0.0978208  |                    0.00188682  | 73_WoE:CreditLimit:Status1:Status2.0                                          | Weight of Evidence for columns ['CreditLimit', 'Status1', 'Status2'] column #0                                                                                                                                                            |
|  5 |            0.0973374  |                    0.0482644   | 44_CVCatNumEnc:Status1:Status2:Status3:Status6:CreditLimit.mean               | Out-of-fold mean of 'CreditLimit' grouped by: ['Status1', 'Status2', 'Status3', 'Status6'] using 5 folds [internal:('mean', 10)]                                                                                                          |
|  6 |            0.0907372  |                    0.0209211   | 56_NumToCatWoE:CreditLimit:PayAmt1:Status5.0                                  | Weight of Evidence for columns ['CreditLimit', 'PayAmt1', 'Status5'] column #0 (numeric columns are bucketed into 25 equally populated bins)                                                                                              |
|  7 |            0.0648915  |                    0.0335204   | 72_WoE:CreditLimit:Status1:Status2:Status4.0                                  | Weight of Evidence for columns ['CreditLimit', 'Status1', 'Status2', 'Status4'] column #0                                                                                                                                                 |
|  8 |            0.064503   |                    0.0300704   | 33_NumToCatWoE:BillAmt5:Status5.0                                             | Weight of Evidence for columns ['BillAmt5', 'Status5'] column #0 (numeric columns are bucketed into 25 equally populated bins)                                                                                                            |
