Relative Importance,Shift in Relative Importance,Original Feature
1,-0.05341,Status1
0.79934,0.065652,Status2
0.48525,-0.24505,PayAmt3
0.29946,-0.0059799,CreditLimit
0.26474,0.22344,PayAmt2
0.21149,-0.086492,Status3
0.15045,-0.018425,Status5
0.11911,0.018702,Status4
0.099781,0.0083532,PayAmt5
0.086834,0.019646,Status6
0.073582,0.0015436,PayAmt1
0.066536,-0.0010514,Age
0.065303,0.02204,BillAmt5
0.063905,0.012265,PayAmt6
0.062763,0.014959,PayAmt4
0.044549,0.0041542,BillAmt1
0.039138,0.004901,BillAmt2
0.032853,0.010778,BillAmt6
0.018623,0.0015409,BillAmt3
0.010924,0.0033552,Education
0.0070912,-0.00091823,BillAmt4
0,0,Sex
0,0,Marriage
